run_id,seed,scenario_id,fault_type,fault_active,fault_severity,gNb_num,ue_per_gNb,effective_lambda_ull,effective_lambda_be,flow_id,src_ip,dst_ip,protocol,src_port,dst_port,tx_packets,rx_packets,lost_packets,undelivered_packets,tx_bytes,rx_bytes,throughput_mbps,mean_delay_ms,mean_jitter_ms,packet_loss_ratio,undelivered_ratio,time_first_tx_s,time_last_rx_s,flow_duration_s,sim_time_s,source_file
4,1,radio_degradation_s3,radio_degradation,1,3,1,2,10000,10000,1,1.0.0.2,7.0.0.2,UDP,49153,1234,6000,611,0,5389,768000,78208,1.043259,270.144149,0.880738,0.0,0.898167,0.4,0.999721,0.599721,1.0,seed1_run4_radio_degradation_s3.csv
4,1,radio_degradation_s3,radio_degradation,1,3,1,2,10000,10000,2,1.0.0.2,7.0.0.3,UDP,49154,1235,6000,121,0,5879,7680000,154880,2.073422,296.35531,4.825,0.0,0.979833,0.4,0.997582,0.597582,1.0,seed1_run4_radio_degradation_s3.csv
4,1,traffic_overload_s1,traffic_overload,1,1,1,2,20000,20000,1,1.0.0.2,7.0.0.2,UDP,49153,1234,12000,10883,0,1117,1536000,1393024,18.574566,28.273474,0.016967,0.0,0.093083,0.4,0.999971,0.599971,1.0,seed1_run4_traffic_overload_s1.csv
4,1,traffic_overload_s1,traffic_overload,1,1,1,2,20000,20000,2,1.0.0.2,7.0.0.3,UDP,49154,1235,12000,2411,0,9589,15360000,3086080,41.159248,240.890215,0.1989,0.0,0.799083,0.4,0.999832,0.599832,1.0,seed1_run4_traffic_overload_s1.csv
4,1,traffic_overload_s2,traffic_overload,1,2,1,2,40000,40000,1,1.0.0.2,7.0.0.2,UDP,49153,1234,24000,10883,0,13117,3072000,1393024,18.574566,164.298474,0.036026,0.0,0.546542,0.4,0.999971,0.599971,1.0,seed1_run4_traffic_overload_s2.csv
4,1,traffic_overload_s2,traffic_overload,1,2,1,2,40000,40000,2,1.0.0.2,7.0.0.3,UDP,49154,1235,24000,2411,0,21589,30720000,3086080,41.159248,271.015215,0.223361,0.0,0.899542,0.4,0.999832,0.599832,1.0,seed1_run4_traffic_overload_s2.csv
4,1,traffic_overload_s3,traffic_overload,1,3,1,2,60000,60000,1,1.0.0.2,7.0.0.2,UDP,49153,1234,36000,10883,0,25117,4608000,1393024,18.574566,209.638327,0.042379,0.0,0.697694,0.4,0.999971,0.599971,1.0,seed1_run4_traffic_overload_s3.csv
4,1,traffic_overload_s3,traffic_overload,1,3,1,2,60000,60000,2,1.0.0.2,7.0.0.3,UDP,49154,1235,36000,2411,0,33589,46080000,3086080,41.159248,281.05648,0.231514,0.0,0.933028,0.4,0.999832,0.599832,1.0,seed1_run4_traffic_overload_s3.csv
5,1,none,none,0,0,1,2,10000,10000,1,1.0.0.2,7.0.0.2,UDP,49153,1234,6000,5997,0,3,768000,767616,10.236525,0.316292,0.030029,0.0,0.0005,0.4,0.999904,0.599904,1.0,seed1_run5_none.csv
5,1,none,none,0,0,1,2,10000,10000,2,1.0.0.2,7.0.0.3,UDP,49154,1235,6000,1765,0,4235,7680000,2259200,30.131096,212.989516,0.238577,0.0,0.705833,0.4,0.999832,0.599832,1.0,seed1_run5_none.csv
